adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 126, -18.201321656, 237.430000000, 6.122082896
"001100000", 250, -7.524905891, 344.570000000, 12.567599033
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 168, -15.896794088, 277.920000000, 6.914601736
"011001000", 130, 32.747770838, 11.890000000, 3.606657705
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
