adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2399051, 24.199796884, 1984666.650000000, 17123.463968789
"001100000", 4988512, 30.562649128, 3858092.490000000, 36986.960955957
"001100010", 24997, 35.558441903, 13664.880000000, 318.690004217
"010100100", 1026839, -22.020533412, 1263266.340000000, 10736.676336368
"010100110", 11192, -26.364302363, 19976.110000000, 333.181962448
"011000000", 3946117, 32.008892797, 3217488.100000000, 22763.327198844
"011001000", 82031, 22.677473851, 56311.570000000, 1134.139991493
"011100000", 1119607, -33.878881943, 1669798.660000000, 16239.959185536
"011100010", 27244, -30.668722989, 39373.380000000, 395.496741230
"011100100", 142297, -14.304684200, 250426.350000000, 7559.016926589
"011101000", 13336, -31.183143155, 22600.340000000, 297.094489612
"011101100", 10352, -36.262538655, 31410.750000000, 580.730163438
"011101110", 799, -20.135957785, 5621.550000000, 239.499409544
