adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 1314284, 19.525269467, 1096782.170000000, 11139.504648740
"001100000", 2193156, 22.698704168, 1763573.230000000, 18925.431461319
"001100010", 4570, 13.724919840, 2743.750000000, 133.060886420
"010100100", 250393, -19.075681615, 417306.190000000, 8750.051157940
"010100110", 760, -29.149824238, 4711.880000000, 135.571314865
"011000000", 1142380, 26.487016276, 927416.870000000, 8115.792573997
"011001000", 12435, 4.581697949, 10532.410000000, 415.258714417
"011100000", 193759, -27.993794993, 359320.560000000, 5914.223492701
"011100010", 1709, -48.247223148, 8170.380000000, 133.922318807
"011100100", 16716, -9.212784176, 38734.500000000, 2389.994119007
"011101000", 666, -27.054999477, 3430.810000000, 102.192203047
"011101100", 255, -29.334837288, 5221.460000000, 169.302456025
"011101110", 9, -12.026155140, 1145.620000000, 94.512334720
