adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 281, -15.497891152, 869.630000000, 37.981296567
"001100000", 275, -15.758246927, 1354.390000000, 68.496832486
"001100010", 4, -5.548269468, 41.090000000, 6.684967306
"010100100", 368, 5.457977060, 168.790000000, 36.498870883
"010100110", 70, 17.035128485, 9.780000000, 3.535048183
"011000000", 166, -18.072731791, 615.590000000, 24.876704043
"011001000", 66, -5.081822052, 142.350000000, 15.024138826
"011100000", 206, 3.977849910, 113.610000000, 23.226115135
"011100010", 26, 2.960557175, 14.190000000, 3.989113975
"011100100", 61, 12.210679161, 7.230000000, 4.403522465
"011101000", 34, 11.152785095, 6.000000000, 2.510583658
"011101100", 66, 42.449120357, 1.610000000, 1.516874778
"011101110", 41, 409.900000000, 0.010000000, 0.100000000
