adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 401, 1.708476118, 396.230000000, 2.791961766
"001100000", 1100, -12.244972755, 1205.980000000, 8.654980466
"001100010", 40, 42.051910205, 1.320000000, 0.919815528
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 860, 1.282248212, 854.210000000, 4.515506392
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
