adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 2647, -62.144104291, 14085.110000000, 184.057846364
"001100000", 3006, -62.452328614, 26420.340000000, 374.915403791
"001100010", 5, -19.804688987, 646.550000000, 32.393843722
"010100100", 6017, 22.956735883, 2329.800000000, 160.615168410
"010100110", 550, 35.962723010, 110.900000000, 12.209865195
"011000000", 3324, -54.009491923, 14535.520000000, 207.584252337
"011001000", 391, -28.470925096, 2264.320000000, 65.797651243
"011100000", 6120, 19.687237102, 2498.240000000, 183.964869286
"011100010", 275, 3.114272594, 213.510000000, 19.744578594
"011100100", 3858, 151.325877969, 126.370000000, 24.659562859
"011101000", 399, 17.740120522, 121.050000000, 15.667875518
"011101100", 1297, 162.843892184, 26.650000000, 7.801029458
"011101110", 712, 960.072308639, 0.580000000, 0.741006686
