adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 889, -15.308115369, 946.890000000, 3.781654280
"001100000", 293, -12.729717111, 371.840000000, 6.193381935
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 1, 0, 0.000000000, 0.000000000
"011000000", 11878, -12.836443695, 11952.010000000, 5.765615599
"011001000", 70, 14.115398694, 15.020000000, 3.895036987
"011100000", 18, 3.620247015, 0.910000000, 4.720672354
"011100010", 1, 0, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
