adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 4120488, 17.521881942, 3546159.800000000, 32777.769071322
"001100000", 7479660, 21.308179457, 6186833.220000000, 60672.793872997
"001100010", 13060, 25.456589761, 7394.770000000, 222.544734125
"010100100", 1666387, -16.908568634, 2046931.350000000, 22506.006169566
"010100110", 9171, -28.242344949, 17989.410000000, 312.240715707
"011000000", 4367190, 24.284360846, 3650212.790000000, 29524.236382087
"011001000", 50790, 26.543059403, 31675.360000000, 720.137031292
"011100000", 1502634, -27.191420386, 2027718.580000000, 19310.671253643
"011100010", 18031, -36.558087775, 31620.180000000, 371.714737481
"011100100", 189062, -11.353267912, 312634.770000000, 10884.334885332
"011101000", 9343, -26.462568117, 16270.190000000, 261.773157061
"011101100", 8975, -41.848005538, 26831.150000000, 426.690585859
"011101110", 802, -21.865135996, 5955.410000000, 235.690736202
